Layer100,Layer173,Layer200
-0.539510728,-0.308982154,-0.334437321
-0.428887366,-0.401760763,-0.380872723
-0.841210806,-0.418889121,-0.382807531
-1.293760924,-0.421743848,-0.404090423
-1.163024223,-0.505958277,-0.480515355
-0.358490681,-0.36036723,-0.371198681
-1.173080892,-0.43601748,-0.446656208
-0.800984129,-0.347520961,-0.383774935
-0.891494153,-0.397478673,-0.400220807
0.717572931,-0.241896083,-0.268653836
0.808082955,-0.179092102,-0.204805159
0.908649647,-0.191938371,-0.232859881
1.139953041,3.46211145,3.368785943
2.085279952,1.495204945,1.686470045
0.546609553,-0.244750809,-0.262849411
0.848309632,-0.264733894,-0.223185839
0.435986191,-0.23618663,-0.278327878
